,loss,accuracy,val_loss,val_accuracy,sparsity,j,i
35,1.465247532905778e-05,1.0,0.10584064573049545,0.982699990272522,0.6339556724267468,3,1
36,1.2091290955140721e-05,1.0,0.10520872473716736,0.9821000099182129,0.6339556724267468,3,1
37,1.274080295843305e-05,1.0,0.10514097660779953,0.9818999767303467,0.6339556724267468,3,1
38,1.5183789400907699e-05,1.0,0.10633765906095505,0.9824000000953674,0.6339556724267468,3,1
42,0.00032028203713707626,1.0,0.09460227936506271,0.98089998960495,0.7382719759579264,3,1
43,0.00025179338990710676,1.0,0.09477511048316956,0.98089998960495,0.7382719759579264,3,1
45,0.00016275266534648836,1.0,0.09517832845449448,0.9810000061988831,0.7382719759579264,3,1
47,0.00011465510760899633,1.0,0.09510140866041183,0.98089998960495,0.7382719759579264,3,1
48,9.329256135970354e-05,1.0,0.09560227394104004,0.9812999963760376,0.7382719759579264,3,1
49,9.159466571873054e-05,1.0,0.09649092704057693,0.9812999963760376,0.7382719759579264,3,1
50,8.70748917805031e-05,1.0,0.09716204553842545,0.9814000129699707,0.7382719759579264,3,1
52,6.20404607616365e-05,1.0,0.09859167784452438,0.9815000295639038,0.7382719759579264,3,1
53,5.5632961448282003e-05,1.0,0.09902095049619675,0.9814000129699707,0.7382719759579264,3,1
54,4.7693720262032e-05,1.0,0.09875373542308807,0.9815999865531921,0.7382719759579264,3,1
55,4.23757555836346e-05,1.0,0.09884203225374222,0.9818999767303467,0.7382719759579264,3,1
56,4.2525607568677515e-05,1.0,0.10073104500770569,0.9815999865531921,0.7382719759579264,3,1
57,3.472328171483241e-05,1.0,0.10157620906829834,0.9817000031471252,0.7382719759579264,3,1
58,3.06935835396871e-05,1.0,0.10158742219209671,0.9817000031471252,0.7382719759579264,3,1
59,3.287701474619098e-05,1.0,0.10154227912425995,0.9818999767303467,0.7382719759579264,3,1
65,0.00048169397632591426,1.0,0.08992630988359451,0.9811999797821045,0.816671675432006,3,1
66,0.00044099747901782393,1.0,0.09108433872461319,0.9814000129699707,0.816671675432006,3,1
67,0.00035203443258069456,1.0,0.09256137162446976,0.9811999797821045,0.816671675432006,3,1
69,0.00026735273422673345,1.0,0.09317965805530548,0.9818000197410583,0.816671675432006,3,1
70,0.00023598309780936688,1.0,0.09367596358060837,0.9817000031471252,0.816671675432006,3,1
71,0.0001988061412703246,1.0,0.09406527876853943,0.9815999865531921,0.816671675432006,3,1
72,0.00016901969502214342,1.0,0.09572300314903259,0.9817000031471252,0.816671675432006,3,1
73,0.00016534756287001073,1.0,0.09594962000846863,0.9815999865531921,0.816671675432006,3,1
74,0.0001414912985637784,1.0,0.0954008400440216,0.982200026512146,0.816671675432006,3,1
75,0.0001279449788853526,1.0,0.09638654440641403,0.9818999767303467,0.816671675432006,3,1
76,0.00010919937631115317,1.0,0.09673764556646347,0.9821000099182129,0.816671675432006,3,1
77,8.588502532802522e-05,1.0,0.09831512719392776,0.9819999933242798,0.816671675432006,3,1
78,8.039648673729971e-05,1.0,0.0991591364145279,0.9824000000953674,0.816671675432006,3,1
79,7.363945042015985e-05,1.0,0.10032059252262115,0.982200026512146,0.816671675432006,3,1
92,0.0005465605645440519,1.0,0.0997311994433403,0.9805999994277954,0.8728437265214125,3,1
93,0.0004537811619229615,1.0,0.10106285661458969,0.980400025844574,0.8728437265214125,3,1
96,0.00032481015659868717,1.0,0.10330142825841904,0.9810000061988831,0.8728437265214125,3,1
98,0.00026090885512530804,1.0,0.10481623560190201,0.9811999797821045,0.8728437265214125,3,1
99,0.000223733572056517,1.0,0.10518462210893631,0.9815999865531921,0.8728437265214125,3,1
112,0.0017892727628350258,0.9999833106994629,0.12100785225629807,0.9769999980926514,0.910495867768595,3,1
119,0.0008917810628190637,0.9999833106994629,0.12980809807777405,0.9775000214576721,0.910495867768595,3,1
139,0.005228325258940458,0.9991000294685364,0.14252491295337677,0.9735000133514404,0.933335837716003,3,1
159,0.007380938623100519,0.9984999895095825,0.1568213850259781,0.9708999991416931,0.9450638617580767,3,1
199,0.003813787829130888,0.9993333220481873,0.2119901180267334,0.9700000286102295,0.9493801652892562,3,1
1,9.402538853464648e-05,1.0,0.09964632987976074,0.9832000136375427,0.5,4,1
2,6.147816020529717e-05,1.0,0.10377974808216095,0.9829000234603882,0.5,4,1
3,3.3282962249359116e-05,1.0,0.09930669516324997,0.9837999939918518,0.5,4,1
7,5.183445682632737e-05,1.0,0.09886918216943741,0.9833999872207642,0.5,4,1
8,2.279479303979315e-05,1.0,0.09797046333551407,0.9839000105857849,0.5,4,1
9,1.4988765542511828e-05,1.0,0.09952203184366226,0.9836000204086304,0.5,4,1
10,1.3631160982185975e-05,1.0,0.1002773717045784,0.9836000204086304,0.5,4,1
11,1.3328601198736578e-05,1.0,0.1002979651093483,0.9832000136375427,0.5,4,1
12,9.017916454467922e-06,1.0,0.10062817484140396,0.9832000136375427,0.5,4,1
13,7.03120167599991e-06,1.0,0.10075630247592926,0.9833999872207642,0.5,4,1
14,9.983569725591224e-06,1.0,0.10094825178384781,0.9830999970436096,0.5,4,1
15,6.9834150053793564e-06,1.0,0.10116478055715561,0.9833999872207642,0.5,4,1
16,1.107663683797e-05,1.0,0.10182208567857742,0.9832000136375427,0.5,4,1
17,1.752743082761299e-05,1.0,0.10337045043706894,0.9833999872207642,0.5,4,1
18,5.499326562130591e-06,1.0,0.10367739200592041,0.983299970626831,0.5,4,1
19,5.894308287679451e-06,1.0,0.10417544096708298,0.9830999970436096,0.5,4,1
24,7.088301208568737e-05,1.0,0.0905623808503151,0.9839000105857849,0.6339556724267468,4,1
25,7.72548810346052e-05,1.0,0.09014786779880524,0.9835000038146973,0.6339556724267468,4,1
26,5.4783286032034084e-05,1.0,0.09088485687971115,0.9836000204086304,0.6339556724267468,4,1
27,4.227693716529757e-05,1.0,0.09042499214410782,0.9836000204086304,0.6339556724267468,4,1
28,3.7390560464700684e-05,1.0,0.09005546569824219,0.9837999939918518,0.6339556724267468,4,1
29,3.247374843340367e-05,1.0,0.09108472615480423,0.9832000136375427,0.6339556724267468,4,1
30,4.039067425765097e-05,1.0,0.09159043431282043,0.9836999773979187,0.6339556724267468,4,1
31,2.487170058884658e-05,1.0,0.09102397412061691,0.984000027179718,0.6339556724267468,4,1
32,2.1548908989643678e-05,1.0,0.09156032651662827,0.9843000173568726,0.6339556724267468,4,1
33,1.94476106116781e-05,1.0,0.09199176728725433,0.9837999939918518,0.6339556724267468,4,1
34,1.610125764273107e-05,1.0,0.0921488031744957,0.9836999773979187,0.6339556724267468,4,1
35,2.0418901840457693e-05,1.0,0.09238799661397934,0.9842000007629395,0.6339556724267468,4,1
36,1.9352477465872653e-05,1.0,0.09389405697584152,0.9840999841690063,0.6339556724267468,4,1
37,2.0745092115248553e-05,1.0,0.09408008307218552,0.9842000007629395,0.6339556724267468,4,1
38,2.1747528080595657e-05,1.0,0.09476634860038757,0.9848999977111816,0.6339556724267468,4,1
39,1.574296948092524e-05,1.0,0.09349331259727478,0.9843999743461609,0.6339556724267468,4,1
